"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"dna",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moments",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oad",0.0174592329580576,0.000351742788532296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"qaq",0.00839273539195181,0.000507253237975109,0,0,0,0,0,0,0,0,0,0.00215773163666207,0,0,0,0,0,0,0,0,0.00269829071056488,0,0,0
"xdd",0.0041963676959759,0,0,0,0,0,0,0,0.00213809966974455,0.00298839595459093,0,0,0,0,0,0,0.00258496250072116,0,0,0,0,0,0,0
"い",0.00162337662337662,0.00794740973312402,0,0.00109289617486339,0,0,0.000924214417744917,0.00221975582685905,0.00165425971877585,0.00115606936416185,0,0,0.00102459016393443,0,0,0.00122549019607843,0,0,0,0.00104058272632674,0.00208768267223382,0.00368550368550369,0,0
"か",0.000625471032280506,0.000963981453597153,0,0.000210541068789504,0.000226641268167524,0.000452218492822525,0.000178045358541955,0.000213812517139174,0.00015934249623027,0.000222711072765776,0.000146275685605464,0.000160805574242401,0.000394764503980319,0.00019054903851869,0.000243238734775752,0.000236084654341171,0.000192645077942396,0.000344009067754278,0.000414290490198701,0.000400926280837452,0.000402181791111474,0.00141998828950169,0,0
"ず",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374213204668179,0,0,0
"た",0.000625471032280506,0.00136091499331363,0,0.000421082137579007,0.000226641268167524,0.000452218492822525,0.000178045358541955,0.000213812517139174,0.00015934249623027,0.000668133218297327,0.000146275685605464,0.000160805574242401,0.00019738225199016,0.00019054903851869,0.000243238734775752,0.000236084654341171,0.000192645077942396,0.000344009067754278,0.000414290490198701,0.000200463140418726,0.000402181791111474,0.00189331771933559,0,0
"や",0.0041963676959759,0.00126813309493777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555905914133582,0,0.00269829071056488,0,0,0
"わ",0.0041963676959759,0.000507253237975109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268986732645282,0.00269829071056488,0,0,0
"を",0.000312735516140253,0.000774965482303594,0,0.000210541068789504,0.000226641268167524,0.000452218492822525,0.000178045358541955,0.000213812517139174,0.000478027488690808,0.000222711072765776,0.000146275685605464,0.000160805574242401,0.000394764503980319,0.00019054903851869,0.000243238734775752,0.000236084654341171,0.000192645077942396,0.000344009067754278,0.000414290490198701,0.000200463140418726,0.000201090895555737,0.00212998243425253,0,0
"シ",0.00257299107259928,0.000311020898885627,0,0,0,0,0.00146484519475153,0.00175911487316444,0.00131096981035662,0,0,0,0.00162393698844381,0,0.00200121527868833,0,0,0,0,0,0.00330889874889594,0,0,0
"ダ",0.0041963676959759,0,0,0,0,0,0.00238905961249645,0.00286899278659396,0,0,0,0,0,0,0,0,0,0,0,0,0.00269829071056488,0,0,0
"マ",0.00367375715232759,0,0,0,0,0,0.00209152902572439,0.00251169190436603,0,0,0,0,0.00231868279286249,0,0,0,0,0,0,0,0.00236224885786409,0,0,0
"ヤ",0.00734751430465518,0.000222040267448371,0,0,0,0,0.00418305805144879,0.00502338380873206,0,0,0,0,0,0,0,0,0,0,0,0,0.00472449771572817,0,0,0
"ン",0.00229713879753059,0.00138838059191409,0,0,0,0,0.00130779805848322,0.00157051886712413,0,0,0.00214888002927691,0,0,0.00139964144340143,0,0,0.00141503749927884,0,0,0,0.00147707463390276,0.00173837530623937,0,0
"一",0.00110076607972831,0.00106447708808891,0,0.00148212438275986,0,0.00159171808711887,0.000626683830972863,0.000752577031201596,0,0.00156779631239916,0,0.00113200651938671,0,0.00134138853632569,0,0.000830970471951762,0,0.00242168537540228,0,0.000705589911667677,0.000707799483416114,0,0.00103364619681805,0.000886368503415213
"一下",0.00182716052286341,0.000441731115417527,0.0021438683468264,0,0,0,0,0,0.00186192040046958,0.00260238354239042,0.00256385166761699,0.00281852474645374,0.00115320787098756,0.00111328474983567,0,0,0,0,0,0,0,0,0.00343149659171908,0.00147128219880243
"一下子",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一些",0.00205038052895096,0.000371772293710889,0,0,0.0014859228303927,0,0,0.00140181399093651,0.00208938694099883,0,0,0,0.00129409262892807,0.00124929219172482,0.00159474041140631,0,0.00126303440583379,0,0,0,0,0,0.00192535732596615,0
"一個",0.000807629317322755,0.00151319558904978,0,0.000543715474831494,0,0,0.00137938907431835,0,0.000822993646767274,0.000575144114995164,0.000755504418330777,0.00124582552455129,0.00152919977296358,0,0,0.000609680955233844,0.000497499659470817,0.00088839224905503,0.00213978348159491,0.00155306865599631,0.000519310709259725,0.000611178942838841,0.000758383627242099,0
"一切",0.00324675324675325,0.00098116169544741,0,0,0.00235294117647059,0,0.00369685767097967,0,0,0,0,0,0,0,0.00252525252525253,0,0,0.00357142857142857,0,0,0,0,0,0
"一句",0.00734751430465518,0.000888161069793483,0,0,0,0,0,0,0,0.00261622474662866,0,0,0,0,0,0,0,0,0,0.00235487451179375,0.00236224885786409,0,0,0
"一團",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一張",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一樣",0.00164140415881934,0.0004629601473593,0.00064197140433823,0.000736688496781575,0,0.00158232388393226,0.000311492594526405,0.00112220306529713,0.000278771701635708,0.000779271646884556,0.000511822304142097,0.000281331375023014,0.000690645465732727,0.00100010381981475,0.000425549226360569,0,0.000337034987277571,0.00060184819156709,0,0,0.00140724420575186,0,0.000513772846459711,0.000440568610820354
"一發",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一直",0.000673762174153967,0.000610828344700025,0,0.000907185790773429,0.000488279410916287,0.000974266430232028,0.000383583640738303,0,0,0.000479812137894617,0.00126055428786285,0.00242509390229708,0.00425243339425045,0.000821043519839454,0.00104807449312839,0.00101724877274226,0.000830074998557688,0.00148227678313873,0.00178510752377997,0.000431880852527413,0,0,0.000632679114754335,0
"一種",0.00367375715232759,0.000666120802345112,0,0,0,0,0,0,0,0,0,0,0,0.00223841187520652,0.00285736667403257,0,0.00226303440583379,0,0,0,0,0,0,0
"一起",0.000949614449222656,0.000286971399490363,0.00111421428708792,0.00127860655895335,0.000688191177319007,0,0,0.000649236959734913,0.000967679901937397,0.00135251445253447,0.000444162870707028,0,0.000599346824509381,0.00115719584712395,0.000738589016062066,0.0014337316194146,0.000584962500721156,0,0.00125798387251862,0,0,0.00143725430152618,0,0
"一集",0.00229713879753059,0.00194373282867973,0,0.00618595628100041,0,0.00332168427060761,0.00261559611696644,0,0,0,0,0.00118116652694394,0,0,0,0,0.00283007499855769,0.00252685267728365,0,0,0,0,0,0.00184972222127953
"三人",0.00581974431935253,0,0,0,0,0,0,0,0.00296522952913247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"三人組",0.00581974431935253,0,0,0,0,0,0,0,0.00593045905826494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"上",0.000199352417740725,0.000114463338757724,0,0.000268417681591883,0.000144471869797984,0.000288265467906776,0.000397230880451944,0.000204441325185827,0.000152358671623184,0.000212949865887202,0.000139864566433128,0.000358767790191154,0.000125820788246195,6.07324873038015e-05,0.000155051880465008,0.00022573729655935,0.000307002723320716,0.000219287659514797,0.000264088364146853,6.38923461645612e-05,0.000192277279741576,0.000301722578202178,0.000187196782512632,0.000240786449663307
"下來",0.00324675324675325,0.000784929356357928,0,0,0,0,0,0,0.00165425971877585,0,0,0.00166944908180301,0,0,0.00252525252525253,0,0.004,0,0,0,0,0,0,0
"不出",0.00487012987012987,0.000294348508634223,0,0,0,0,0,0.00332963374028857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不多",0.00367375715232759,0.00133224160469022,0,0,0.00266239341862799,0,0,0,0,0.00261622474662866,0,0.00188901035545392,0,0,0,0,0,0,0,0,0,0,0,0
"不太",0.0041963676959759,0.000253626618987555,0.00492373809661173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555905914133582,0,0,0,0,0
"不是",0.000949614449222656,0.000975702758267235,0,0.00127860655895335,0.00137638235463801,0,0.000540630777006614,0,0.000967679901937397,0.00135251445253447,0.000444162870707028,0.000976565109718124,0,0.000578597923561974,0,0.0014337316194146,0.000584962500721156,0.00208915178828984,0,0.00060870187379933,0.000610608038331061,0,0.000891711129148104,0
"不見",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不該",0.00487012987012987,0.000294348508634223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312174817898023,0,0,0,0
"不讓",0.00487012987012987,0,0,0,0,0,0.00277264325323475,0,0,0,0,0.00250417362270451,0,0,0,0,0,0,0,0,0,0,0,0
"丟",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439333639794259,0,0,0,0,0,0,0,0
"中",0.000673762174153967,0.000692272123993362,0.00158109523534798,0.00226796447693357,0.000488279410916287,0,0.00115075092221491,0,0.00102986972525768,0,0.000315138571965713,0.000692883972084881,0.00255146003655027,0.00123156527975918,0.00104807449312839,0.000508624386371132,0.000415037499278844,0,0,0.00129564255758224,0,0.000509874077738137,0.000632679114754335,0.000542532678795874
"中間",0.00288572658873953,0.000523236139716509,0,0.00388548104625913,0.00209130303372183,0,0,0,0,0,0,0,0,0,0.00448890802692816,0,0,0,0,0.0018497477405448,0.00371108054000741,0,0,0
"串",0.00487012987012987,0,0.00571428571428571,0,0.00352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"主要",0.00367375715232759,0.000222040267448371,0.0043105417253977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235487451179375,0,0,0.00344974756986859,0
"之前",0.00182716052286341,0.000773029451980672,0.0021438683468264,0,0,0,0.00104023186883906,0.00124920186690772,0,0,0,0.000939508248817912,0,0,0,0.00275865412275456,0,0,0,0.00117120799384377,0.00117487565979526,0,0.00343149659171908,0.00147128219880243
"之後",0.000807629317322755,0.000390502087496717,0.00189523679798406,0.000543715474831494,0.00058529371702449,0.00116783957622257,0.000459796358106115,0.000552163883985368,0,0.000575144114995164,0.000377752209165389,0,0.000509733257654525,0.00196834682283211,0.000628156135695476,0,0.000497499659470817,0,0,0,0,0.00122235788567768,0.0015167672544842,0.00260130540899773
"交代",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358496250072116,0,0,0,0,0,0,0
"交待",0.00581974431935253,0,0,0,0,0,0.00331327403024136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"人",0.00128101171672302,0.00129039641794444,0.00150305374762168,0.00114987718397287,0.000928356726472213,0.00123490331377368,0.00097240076093824,0.000291936077506985,0.000870254444445968,0.00182451610982978,0.000399444807644334,0.00153692891555639,0.000269502464993641,0.000260172508243119,0.00199268489268026,0.000644692171161259,0.000526068811667588,0,0.00169699616666964,0.000821127177420792,0.00164739711378159,0,0,0
"人家",0.00974025974025974,0,0,0,0,0,0,0,0,0,0.00151860288534548,0,0,0.0019782393669634,0,0.00245098039215686,0.002,0,0,0,0,0.00245700245700246,0,0
"什麼",0.00164140415881934,0.00069444022103895,0,0,0.000793023499476637,0.00158232388393226,0.000622985189052811,0.000374067688432376,0.000278771701635708,0.000779271646884556,0.000511822304142097,0.00140665687511507,0.000690645465732727,0.00166683969969125,0,0.000413033072644082,0,0.00060184819156709,0.00144961284850568,0.00140285114371517,0.000351811051437965,0.000414047895918391,0,0.000881137221640707
"今天",0.00324675324675325,0.00117739403453689,0,0,0,0,0,0,0.00165425971877585,0,0.00303720577069096,0.00166944908180301,0,0,0,0,0,0,0,0,0,0.00491400491400491,0,0
"以及",0.00288572658873953,0.00104647227943302,0,0,0,0,0.00164289055329349,0,0,0,0,0,0.00182131924043397,0.00351653329112473,0,0,0.00177760757866355,0,0,0,0,0,0.00270976765040176,0
"以為",0.00367375715232759,0.000444080534896741,0,0.00247326164571999,0,0,0,0,0.00187182332988734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295821490958666
"伊",0.00581974431935253,0.000351742788532296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"但",0.000625471032280506,0.00103958784211458,0,0.000421082137579007,0.000453282536335049,0.000904436985645051,0.000356090717083911,0.000855250068556696,0.00015934249623027,0.00133626643659465,0.000292551371210928,0.000482416722727202,0.000592146755970479,0.000571647115556071,0.000243238734775752,0.000944338617364685,0.000577935233827187,0,0,0.000200463140418726,0.00060327268666721,0.00118332357458474,0.000293666277351213,0.00125911815648625
"但是",0.00126234996536291,0.000686662893246857,0.00148115729269248,0.000849844348266177,0,0.00365073980593217,0,0.00258914843062226,0.000643182447198968,0,0,0.00129817625820293,0,0.00153829392416133,0.000981827750837818,0.00285885139214541,0.000777607578663552,0,0,0,0,0,0.00118537740649932,0.00101648049498504
"作畫",0.000407567798973568,9.85328744771262e-05,0,0.000274384441713353,0.000295366781373785,0.000589346864243469,0.000232034902188279,0.000278647906956401,0.000207660681693728,0.000290244814066726,0.000190631559732512,0.000209567415832819,0.000257235414106268,0.000372495199061896,0.000475495765469162,0.000307673730597693,0.000251061764167718,0.000448324578870924,0.000539917772403694,0,0.000131034323678349,0.000154214842854863,0.000191358051957102,0.00016409265631877
"作統整",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"作者",0.00257299107259928,0.00124408359554251,0,0,0,0,0.00146484519475153,0.00175911487316444,0,0.00183232659042908,0,0,0.00162393698844381,0,0,0,0,0,0,0,0,0,0.00241610137305054,0.00207184640617145
"你",0.00284884334766797,0.0022957711959229,0.00111421428708792,0,0.00137638235463801,0,0.00216252310802646,0.00129847391946983,0,0.0020287716788017,0.00133248861212108,0.000488282554859062,0.00419542777156567,0,0.00369294508031033,0.0028674632388292,0.00116992500144231,0,0.00251596774503723,0.00669572061179263,0,0,0,0.00305862745475114
"佳",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452646780394085,0,0,0,0,0,0,0,0,0
"來",0.00126234996536291,0.000534071139192,0,0,0.00182966489097306,0,0.000718676135548569,0.000863049476874087,0.00128636489439794,0,0,0.00194726438730439,0.000796729076499541,0,0.00196365550167564,0.000952950464048471,0.0015552151573271,0,0.00334454872543463,0,0.00162339786777359,0,0,0.00203296098997007
"俺",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"做",0.00569768669533594,0.000573942798980726,0,0.00127860655895335,0.000688191177319007,0.00274630282028712,0,0,0.000483839950968698,0,0.000444162870707028,0.00292969532915437,0.000599346824509381,0.000578597923561974,0,0.0014337316194146,0,0,0,0.00060870187379933,0.00183182411499318,0.00143725430152618,0.000891711129148104,0.00229397059106336
"做阿",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"偷窺",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"偷聽",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"催淚彈",0.0148862418854583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"像",0.00126234996536291,0.000305183508109714,0,0.00169968869653235,0,0.00182536990296608,0,0.000863049476874087,0,0.00269690489709902,0.00118087711262498,0.000649088129101463,0.00159345815299908,0.000769146962080665,0,0.00190590092809694,0,0,0.00167227436271732,0,0.000811698933886797,0,0,0.00203296098997007
"先回去",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358496250072116,0,0,0,0,0,0,0
"先彈",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"全劇",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"兩位",0.00229713879753059,0,0.00269530952243589,0,0,0.00332168427060761,0,0,0,0,0,0,0,0.00139964144340143,0,0.00693645832979825,0,0.00758055803185095,0.0152154569814929,0.00294492715770831,0,0.00173837530623937,0,0
"兩包",0.00581974431935253,0.000351742788532296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"兩次",0.00487012987012987,0,0,0,0,0,0,0,0,0.00346820809248555,0,0.00250417362270451,0,0,0,0,0,0,0,0,0,0,0,0
"公司",0.00581974431935253,0.000351742788532296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公生",0.000996762088703625,0.000698828805047157,0,0.00181181935074521,0.00151695463287883,0.00100892913767372,0.00119169264135583,0.00224885457704409,0.0010157244774879,0.00170359892709762,0.00107229500932065,0.00153757624367638,0.00138402867070815,0.00133611472068363,0.00124041504372007,0.00150491531039567,0.00153501361660358,0.00197358893563318,0.00158453018488112,0.00178898569260771,0.00102547882528841,0.00158404353556144,0.000374393565025264,0.000561835049214383
"其實",0.00220153215945662,0.0013971261781167,0.00645782766773941,0.000741062191379932,0.000797731653073691,0,0.00125336766194573,0.000752577031201596,0,0.000783898156199581,0.0025743048789394,0,0.000694745804418686,0.000670694268162846,0,0.00249291141585529,0,0,0.00145821915077987,0,0,0,0.00103364619681805,0.00177273700683043
"再",0.000299028626611087,7.83170212552848e-05,0.000116953418407892,6.71044203979708e-05,0.000288943739595968,0.000288265467906776,0.000170241805907976,0.000204441325185827,5.07862238743948e-05,0.000283933154516269,0.00023310761072188,0.000153757624367638,0.000125820788246195,0.000121464974607603,0.000232577820697512,7.52457655197834e-05,0.000122801089328287,0.000109643829757399,0.000132044182073426,0.000127784692329122,6.40924265805253e-05,0,0.000187196782512632,0.000240786449663307
"凪",0.00367375715232759,0.000222040267448371,0,0,0.0292863276049079,0.0212491493505521,0,0,0,0.0209297979730293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"出",0.00410076105790193,0.00161101327274719,0,0,0.0014859228303927,0,0.00233462921595895,0,0,0.00146015538246681,0,0,0,0.00124929219172482,0.00159474041140631,0,0,0,0.00271620302329848,0,0.00395522256524153,0.00155163931920613,0,0
"出現",0.000407567798973568,8.62162651674855e-05,0.000478212884128986,0.000274384441713353,0.000590733562747571,0.000589346864243469,0.000348052353282418,0.000278647906956401,0.000103830340846864,0.000145122407033363,0.000285947339598767,0.000209567415832819,0.000257235414106268,0.000496660265415861,0.000475495765469162,0.000615347461195386,0.000125530882083859,0.000448324578870924,0.000539917772403694,0.000391875802551068,0.000393102971035049,0.000308429685709727,0,0
"分",0.000427003905574341,0.000180655498512221,0,0.000287469295993217,0.000309452242157404,0.00061745165688684,0.00048620038046912,0.000291936077506985,0.000217563611111492,0.000304086018304964,0.000199722403822167,0.000219561273650913,0.000269502464993641,0.000520345016486239,0.000332114148780043,0.000644692171161259,0.000263034405833794,0.000469704296131775,0.000565665388889879,0.000273709059140264,0.000274566185630265,0,0,0
"判斷",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"到",9.96762088703625e-05,0.000210853518764228,0,0.000201313261193912,0.00036117967449496,0.000144132733953388,0.000113494537271984,0.000272588433581102,0.000152358671623184,0.000212949865887202,0.000279729132866256,0.000256262707279396,0.000440372758861683,0.000121464974607603,0.000465155641395025,0.00022573729655935,0.000307002723320716,0.000438575319029595,0.000264088364146853,6.38923461645612e-05,0.000128184853161051,0.000150861289101089,0.000280795173768948,0.000160524299775538
"前",0.00205038052895096,0.00148708917484356,0,0,0,0,0.00233462921595895,0,0,0.00146015538246681,0,0,0.00129409262892807,0.00249858438344964,0.00318948082281261,0.00154783628165906,0,0.00225541858184606,0,0,0.00131840752174717,0,0,0
"前傳",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"劇情",0.00252469993072582,0.00198369280271314,0.00148115729269248,0.000849844348266177,0,0.00182536990296608,0.000718676135548569,0.000863049476874087,0,0,0,0,0.000796729076499541,0,0.000981827750837818,0.000952950464048471,0.00233282273599066,0,0,0,0.00162339786777359,0,0.00355613221949795,0.00304944148495511
"加上",0.00257299107259928,0.000466531348328441,0,0,0,0,0,0.00175911487316444,0,0.00183232659042908,0,0,0,0,0.00600364583606499,0,0,0,0,0.00164928460012607,0.00330889874889594,0,0.00241610137305054,0
"動畫",0.00039870483548145,0.000355438788773985,0,0.000201313261193912,0.000288943739595968,0.000576530935813552,0.000340483611815952,0.000545176867162204,0.000406289790995158,0.000283933154516269,0.000419593699299385,0.000205010165823517,0.000188731182369293,0.000182197461911404,0.000387629701162521,7.52457655197834e-05,0.000245602178656573,0.000219287659514797,0.000132044182073426,6.38923461645612e-05,0.000576831839224728,0.000226291933651634,0.000374393565025264,0.000561835049214383
"勿",0.000427003905574341,2.58079283588887e-05,0,0.000287469295993217,0.000309452242157404,0.00061745165688684,0.00024310019023456,0.000291936077506985,0.000217563611111492,0.000304086018304964,0.000199722403822167,0.000219561273650913,0.000269502464993641,0.000260172508243119,0.000332114148780043,0.00032234608558063,0.000263034405833794,0.000469704296131775,0.000565665388889879,0.000273709059140264,0.000274566185630265,0,0,0
"化",0.00839273539195181,0.000507253237975109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394049161695298,0.00675807189731021
"卷",0.0116394886387051,0.000351742788532296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"卻",0.000807629317322755,0.000781004174993433,0,0.000543715474831494,0.00117058743404898,0,0.000919592716212231,0.00276081941992684,0,0.00230057645998066,0.000755504418330777,0.000830550349700863,0,0.000984173411416057,0.00125631227139095,0.000609680955233844,0,0.00266517674716509,0.00106989174079746,0.000517689551998769,0.000519310709259725,0,0.0015167672544842,0
"原本",0.00324675324675325,0.00098116169544741,0,0,0.00235294117647059,0,0,0,0,0,0.00151860288534548,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0.00261437908496732
"去",0.000547134719606446,0.000330685819542357,0.00064197140433823,0.000368344248390788,0,0,0.000311492594526405,0.00224440613059425,0.000836315104907123,0.00194817911721139,0.000511822304142097,0.000843994125069042,0.000345322732866363,0.001333471759753,0.00127664767908171,0,0.000337034987277571,0,0.00072480642425284,0.000350712785928794,0.000351811051437965,0.000414047895918391,0.00102754569291942,0
"另",0.0041963676959759,0.000253626618987555,0,0,0,0,0,0,0,0,0,0,0.00264852715237823,0,0,0,0,0,0.0111181182826716,0,0,0,0,0
"另外",0.000312735516140253,9.45079856467797e-05,0,0.000210541068789504,0.000226641268167524,0.000452218492822525,0.000178045358541955,0.000213812517139174,0.00015934249623027,0.000222711072765776,0.000438827056816391,0.000160805574242401,0.00019738225199016,0.00019054903851869,0.000243238734775752,0.000472169308682343,0.000192645077942396,0.000344009067754278,0.000414290490198701,0.000200463140418726,0.000201090895555737,0,0.000293666277351213,0
"只是",0.000949614449222656,0.000975702758267235,0,0.00191790983843002,0.000688191177319007,0,0.000540630777006614,0.000649236959734913,0.00241919975484349,0,0.000888325741414056,0.00195313021943625,0.00119869364901876,0.00173579377068592,0.000738589016062066,0.000716865809707299,0.000584962500721156,0,0,0.00060870187379933,0,0,0,0.00229397059106336
"只能",0.00459427759506118,0.000694190295957047,0,0,0,0,0.00130779805848322,0,0.0023408395356143,0.00163588150205647,0,0.00472466610777577,0,0,0,0,0.00141503749927884,0,0,0,0.00295414926780552,0,0.00215706935865677,0
"叭",0.0148862418854583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"可以",0.000949614449222656,0.000746125638674944,0.00334264286126375,0.000639303279476673,0.00206457353195702,0.00137315141014356,0,0.000649236959734913,0.00290303970581219,0.00135251445253447,0.00133248861212108,0,0,0.00173579377068592,0.00147717803212413,0,0,0,0.00125798387251862,0.00182610562139799,0.000610608038331061,0,0.00178342225829621,0
