"","1","2","3","4","5","6","7","8","9","10","11","12"
"一一",0.000187171666543242,0,0.000332596288567161,0,0.000215663690913309,0.000419241338515311,0.000212471091905761,0,0,0,0,0
"一下",3.72053592424004e-05,3.89908004608973e-05,8.26404753679123e-05,0,9.64550447156774e-05,5.55569294462752e-05,2.11171472931044e-05,5.76252672070597e-05,9.33083860881012e-05,3.0179320130751e-05,8.44899088567113e-05,1.47718147898163e-05
"一世",0.000766141820012198,0,0,0,0,0,0,0.000237326707741568,0,0,0,0
"一些",8.66867961945993e-05,0,0,0.000725759926453047,4.99413045949933e-05,0,0.000147605980499913,5.37057014984536e-05,7.24680996929083e-05,0,9.84288239476958e-05,6.88353142764364e-05
"一交",0.000374343333086483,0.000196153813609845,0.000332596288567161,0,0,0,0,0,0,0.000151825268161293,0.000106262359568719,0
"一交直",0.000383070910006099,0,0,0,0,0,0,0,0.000320238169068528,0,0,0
"一亮",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一人",9.30133981060009e-05,9.74770011522432e-05,0.000115696665515077,0,7.50205903344157e-05,5.55569294462752e-05,0.000116144310112074,9.22004275312955e-05,6.22055907254008e-05,9.0537960392253e-05,6.33674316425335e-05,0.000147718147898163
"一位",5.58080388636005e-05,5.84862006913459e-05,1.65280950735825e-05,0.000155745511270296,3.21516815718925e-05,8.33353941694128e-05,0,3.45751603242358e-05,1.55513976813502e-05,1.50896600653755e-05,6.33674316425335e-05,4.43154443694489e-05
"一併",0.000234878853100349,0,0,0,0.000135316528704957,0.0001753665081568,0,0,0,0,0.000400041014821089,0
"一保",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一個二十",0.000383070910006099,0,0,0,0.00022069175281492,0,0,0,0,0,0,0
"一個五十",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一偏",0.000383070910006099,0,0,0,0,0,0,0.000237326707741568,0,0,0,0
"一刀",0.000346747184778397,0.000999314724015021,0,0,0.00029964782756996,0.000129445120761486,9.84039869999422e-05,0.000161117104495361,0,0.00042189866622514,0,0.000344176571382182
"一列",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一到",0.000234878853100349,0,0.000208684990220034,0,0,0.0001753665081568,0,0,0,0,0.000133347004940363,0
"一動",0.000115235266547651,0.000120765270797259,0,0,0,8.60375723239159e-05,6.54056336667131e-05,0,0,0.000186947368352819,0.000261688567613512,9.15047750839671e-05
"一匹",8.66867961945993e-05,0.000181693586184549,7.70194207664458e-05,0,0.000199765218379973,0,0.000147605980499913,0.000107411402996907,0,0.000492215110595996,0,6.88353142764364e-05
"一半",0.00140927311860209,0,0,0,0,0,0.000133313356945173,0,0,0.000190523199990522,0.000133347004940363,0
"一口",0.000155918438549967,4.08501950355325e-05,6.92651496599852e-05,0,0.000179652970773529,0.000203722155436663,6.63725475230365e-05,2.41493211378804e-05,0,0.000158092562708134,4.42595332044075e-05,6.19050143172026e-05
"一口氣",0.000123010521422301,0.000322284127410191,0,0,3.543391951497e-05,4.59213873953135e-05,3.49093699452304e-05,0.000114314404869311,0,4.98903112488092e-05,0.000104754542978002,4.88394327228576e-05
"一句",0.000346747184778397,0,0.000462116524598675,0,4.99413045949933e-05,0.000323612801903715,0.000246009967499855,0.000322234208990721,0,0.000351582221854283,0.00024607205986924,0
"一名",0.000184515782133452,6.44568254820382e-05,0,0,0.00056694271223952,0.000459213873953135,0.000384003069397534,0.000190524008115518,0,0.000149670933746428,3.49181809926673e-05,0.000586073192674291
"一地",0.000383070910006099,0,0,0,0,0,0.000434849440780748,0,0,0,0,0
"一堆",0.0015322836400244,0,0,0,0.00044138350562984,0,0,0,0,0,0,0
"一場",0.000748686666172966,0,0,0,0,0.000698735564192185,0,0,0.000312942122357233,0.000151825268161293,0.000106262359568719,0
"一塊",7.79592192749833e-05,0.000122550585106598,3.46325748299926e-05,0,6.73698640400735e-05,0,4.42483650153577e-05,2.41493211378804e-05,9.77580794724209e-05,9.48555376248806e-05,4.42595332044075e-05,0.000185715042951608
"一大半",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一套",0.000460941066190606,0.000120765270797259,0.000204768289312324,0,6.63884212980067e-05,8.60375723239159e-05,0,0,0,0,0.000130844283806756,9.15047750839671e-05
"一字排開",0.000383070910006099,0,0.000340350559673622,0,0,0,0,0,0,0,0,0
"一家人",0.0002963841138115,0,0.000263331138907176,0,0,0,0,0,0,0,0,0.000235349493998588
"一對",0.000184515782133452,0.000257827301928153,5.4646148687142e-05,0,7.086783902994e-05,0,6.98187398904607e-05,0.000304838412984828,5.14169349949014e-05,0.000199561244995237,0.000139672723970669,0
"一帶",0.000230470533095303,0.000241530541594518,0.000102384144656162,0,0.000132776842596013,8.60375723239159e-05,0,0,0,0.000186947368352819,0,0.000183009550167934
"一張",7.79592192749833e-05,0,0.000103897724489978,0,8.98264853867647e-05,0.000145515825311902,0.000132745095046073,9.65972845515218e-05,3.2586026490807e-05,3.16185125416269e-05,0.00017703813281763,3.09525071586013e-05
"一想",0.000766141820012198,0,0.000340350559673622,0,0,0,0,0,0,0,0,0
"一愕",0.000234878853100349,0,0,0,0,0,0.000133313356945173,0,0,0,0.000133347004940363,0.00018651006127573
"一應俱全",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0,0,0,0,0.000235349493998588
"一手",0.000123010521422301,0,5.4646148687142e-05,0,0.00017716959757485,0,3.49093699452304e-05,0.000152419206492414,0.000102833869989803,4.98903112488092e-05,6.98363619853346e-05,4.88394327228576e-05
"一把",3.89796096374917e-05,4.08501950355325e-05,3.46325748299926e-05,0,0.000179652970773529,2.91031650623804e-05,0.000110620912538394,9.65972845515218e-05,3.2586026490807e-05,0.000126474050166507,0,9.28575214758039e-05
"一抖",0.00014819205690575,0,0.000131665569453588,0,8.53752241099633e-05,0,0,0,0,0.000120206755619666,8.41325929665152e-05,0.000117674746999294
"一折",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一抹",0.000383070910006099,0,0,0,0.00044138350562984,0,0,0,0,0,0,0
"一拉",0.000234878853100349,0,0,0,0.000135316528704957,0,0,0.000727581023100053,0,0.000190523199990522,0,0
"一招",0.000623673754199867,0.000245101170213195,0.000623386346939867,0,0.000112283106733456,0,0.00037611110263054,0.000362239817068207,9.77580794724209e-05,0.000347803637957895,0.000686022764668316,3.09525071586013e-05
"一拳",0.000921882132381212,0.000120765270797259,0.000716689012593135,0,0,0,0.000327028168333565,0.000142785086056473,0,0,6.54221419033781e-05,0.000183009550167934
"一拿一",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一捆",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一捋",0.000383070910006099,0.0004014540302409,0,0,0,0,0,0,0,0,0,0
"一掃",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一掌",0.000246021042844602,0,0.000109292297374284,0,3.543391951497e-05,4.59213873953135e-05,0.000139637479780921,0.000190524008115518,5.14169349949014e-05,0,0.000209509085956004,4.88394327228576e-05
"一推",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0,0,0,0,0.000235349493998588
"一提",0.000187171666543242,0.000196153813609845,0,0,0.000107831845456654,0.000139747112838437,0,0,0,0,0.000106262359568719,0
"一揖",0.000234878853100349,0,0,0,0,0,0,0.000436548613860032,0,0,0.000133347004940363,0.00018651006127573
"一揚",0.0002963841138115,0.000310607237148626,0.000131665569453588,0,0,0,0,0.000183621006243114,0.00012388503468781,0,0.000252397778899546,0
"一換",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一揮",0.000230470533095303,0.000120765270797259,0.000102384144656162,0,0,0,0.000130811267333426,0.00021417762908471,9.63339418562379e-05,0,6.54221419033781e-05,0
"一搖",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一擊",0.000187171666543242,0,0,0,0.000215663690913309,0,0,0.000347879472778313,0,0.000151825268161293,0.000212524719137438,0
"一旁",3.89796096374917e-05,0.000122550585106598,3.46325748299926e-05,0,0,2.91031650623804e-05,4.42483650153577e-05,2.41493211378804e-05,3.2586026490807e-05,3.16185125416269e-05,2.21297666022038e-05,3.09525071586013e-05
"一時",3.72053592424004e-05,1.94954002304486e-05,6.61123802943298e-05,0,3.21516815718925e-05,6.9446161807844e-05,3.16757209396565e-05,1.15250534414119e-05,4.66541930440506e-05,9.0537960392253e-05,4.22449544283557e-05,1.47718147898163e-05
"一晃",0.00014819205690575,0,0.000131665569453588,0,0,0,8.41113634452014e-05,0.000183621006243114,0,0,8.41325929665152e-05,0.000117674746999294
"一會",3.72053592424004e-05,3.89908004608973e-05,1.65280950735825e-05,0,0.000117889499096939,1.38892323615688e-05,6.33514418793131e-05,2.30501068828239e-05,4.66541930440506e-05,3.0179320130751e-05,4.22449544283557e-05,7.38590739490814e-05
"一會兒",0.000234878853100349,0.000246150411666587,0,0,0,0,0,0.000145516204620011,0,0,0,0.000373020122551461
"一望",0.000173373592389199,9.08467930922746e-05,0,0,4.99413045949933e-05,0,4.92019934999711e-05,5.37057014984536e-05,0,7.03164443708566e-05,4.92144119738479e-05,6.88353142764364e-05
"一枝",0.000748686666172966,0.000784615254439381,0,0,0.000323495536369963,0,0.00010623554595288,0.000347879472778313,0,0,0,0
"一架",0.0010625259338237,0,0,0,0,0,0,0,0,0,0,0
"一柄",7.79592192749833e-05,8.1700390071065e-05,3.46325748299926e-05,0,8.98264853867647e-05,0,4.42483650153577e-05,9.65972845515218e-05,3.2586026490807e-05,9.48555376248806e-05,6.63892998066112e-05,3.09525071586013e-05
"一條",3.72053592424004e-05,3.89908004608973e-05,4.95842852207474e-05,0,2.14344543812616e-05,4.16676970847064e-05,4.22342945862087e-05,6.91503206484716e-05,3.11027953627004e-05,3.0179320130751e-05,4.22449544283557e-05,7.38590739490814e-05
"一樁",0.000383070910006099,0,0,0,0.00022069175281492,0,0,0,0,0,0,0
"一氣",0.000383070910006099,0,0,0,0,0,0,0,0,0,0.000217479597906878,0
"一沉",0.000939515412401396,0.000246150411666587,0,0,0,0,0.000133313356945173,0,0,0.000381046399981045,0,0
"一洗",0.000383070910006099,0,0,0,0,0,0,0,0,0,0.000217479597906878,0
"一派",0.000592768227622999,0,0,0,0,0,0,0.000183621006243114,0,0,0.00016826518593303,0
"一片",1.86026796212002e-05,3.89908004608973e-05,3.30561901471649e-05,0,3.21516815718925e-05,4.16676970847064e-05,4.22342945862087e-05,5.76252672070597e-05,1.55513976813502e-05,1.50896600653755e-05,2.11224772141778e-05,1.47718147898163e-05
"一牌",0.000383070910006099,0,0,0,0,0,0,0.000237326707741568,0,0,0,0
"一生",0.000230470533095303,0.000120765270797259,0,0.000964773670798452,0.000132776842596013,0,0.000130811267333426,0,9.63339418562379e-05,0,0.000196266425710134,0
"一用",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一男一女",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0,0,0.000240413511239332,0,0
"一番",6.15052607111505e-05,0,0.000109292297374284,0,0,0.000137764162185941,0.000104728109835691,3.81048016231035e-05,5.14169349949014e-05,4.98903112488092e-05,0.000349181809926673,4.88394327228576e-05
"一直",5.58080388636005e-05,1.94954002304486e-05,1.65280950735825e-05,0,1.07172271906308e-05,4.16676970847064e-05,1.05585736465522e-05,3.45751603242358e-05,4.66541930440506e-05,1.50896600653755e-05,1.05612386070889e-05,1.47718147898163e-05
"一眼",0.000223232155454402,9.74770011522432e-05,3.30561901471649e-05,0,3.21516815718925e-05,1.38892323615688e-05,5.27928682327609e-05,6.91503206484716e-05,3.11027953627004e-05,3.0179320130751e-05,8.44899088567113e-05,7.38590739490814e-05
"一瞥",0.000234878853100349,0,0,0,0,0.0001753665081568,0,0,0,0.000571569599971567,0,0.00018651006127573
"一矮",0.000234878853100349,0.000246150411666587,0,0,0.000135316528704957,0,0,0.000145516204620011,0,0,0,0
"一笑",0.000204629475833202,5.84862006913459e-05,4.95842852207474e-05,0,2.14344543812616e-05,1.38892323615688e-05,4.22342945862087e-05,4.61002137656477e-05,4.66541930440506e-05,7.54483003268775e-05,2.11224772141778e-05,1.47718147898163e-05
"一箭",0.0002963841138115,0,0,0,0.000683001792879706,0,0.000336445453780806,0,0,0,0,0
